id,text,label
50,"Надоела в девках воля,
Мне мила замужних доля,
Буду мужу помогать я —
Покупать духи и платья!",частушка
51,"Не хватает у нас места,
Негде яблоку упасть!
Хороша, свежа невеста,
Так и хочется украсть!",частушка
52,"Все у тестя по уму!
Любит он свою жену!
Деньги лихо достает —
Дочку замуж отдает!",частушка
53,"Свадьба пьёт и веселится,
И смеётся, У-ха-ха!
А невеста пусть гордится,
Посмотрев на жениха!",частушка
54,"Нету лета без июля,
А июля без цветов;
Нет любви без поцелуя —
В поцелуе вся любовь!",частушка
55,"Греет землю жарко лето,
Свадьба весело идёт,
И пускай событье это
Радость в сердце всем несёт!",частушка
56,"Мы с невестою подружки,
Сколько лет — не сосчитать.
Обещай, жених, невесту
Ежечасно целовать!",частушка
57,"Свадьба пусть поёт и пляшет,
Расцветает, как букет…
Тёща ручкой нежно мажет
И свекрови шлёт привет!",частушка
58,"Тесть на свадьбе — генерал!
Дочку замуж он отдал!
Он уверен: счастье будет!
Зять невесту очень любит!",частушка
59,"Пожелать хотим влюбленным
Честно в доме поделить —
Кому мусор и посуда,
А кому баклуши бить!",частушка
60,"Если ягода созрела,
Надо ягоду сорвать.
Звать невестой надоело —
Знать, пора женою звать!",частушка
61,"Молодая, ты послушно
Выполняй наказы мужа,
Муж, жене будь верным
Не действуй ей на нервы!",частушка
62,"Что случилось, ой-ой-ой,
Не найти нам места:
Дочка махонька такая —
Вот уж и невеста!",частушка
63,"Вам под самой крышей рая
Свить гнездо своё желаем!
И чтоб было то гнездо
Полной чашей на все сто!",частушка
64,"Не спеши, подружка, замуж,
Походи по улице.
Еще перина не готова —
Перышки на курице.",частушка
65,"Я искал себе невесту,
Пол-России истоптал.
Друг, признайся, только честно:
Где таку красотку взял?",частушка
66,"За столом шептались гости,
Я подслушал разговор.
Говорят, красивей пары
Не видали до сих пор!",частушка
67,"Ходи, хата, ходи, хата,
Ходи, курица, хохлата,
Ходи, сени и порог,
И сметана, и творог.",частушка
68,"Начинаем петь частушки,
Просим не смеяться:
Тут народу очень много,
Можем растеряться!",частушка
69,"Утром маме наша Мила
Две конфетки подарила.
Подарить едва успела,
Тут же их сама и съела.",частушка
70,"Я подрос на сантиметр,
А Витёк - на целых пять.
А Лариска растолстела,
Целым классом не обнять.",частушка
71,"Поленился утром Вова
Причесаться гребешком,
Подошла к нему корова,
Причесала языком!",частушка
72,"Сидит Ванька у ворот
Широко разинув рот,
А народ не разберет,
Где ворота, а где рот.",частушка
73,"С горки ехала Иришка -
Самой быстрою была;
Ира даже свои лыжи
По пути обогнала!",частушка
74,"Мышку в клетку я поймал
И там запер крепко,
Ведь без мышки не собрать
В огороде репку.",частушка
75,"Кабы, кабы да кабы
На носу росли грибы,
Сами бы варилися
Да и в рот катилися.",частушка
76,"Как по саду-огороду
Любит козочка гулять.
После этого похода
Урожая не собрать!",частушка
77,"Выйду, выйду я плясать
В новеньких ботинках,
Все ребята говорят,
Что я как картинка!",частушка
78,"Я корова хоть куда!
Как венец мои рога.
Кто меня проведает,
Молочка отведает!",частушка
79,"Заиграй-ка, балалайка,
Балалайка - три струны!
Подпевайте, не зевайте,
Выходите, плясуны.",частушка
80,"У меня на сарафане
Петушки да петушки
В целом мире нету краше
Моей милой бабушки!",частушка
81,"Я не тятькина
Я не мамкина -
Я на улице росла,
Меня курица снесла.",частушка
82,"Саша с Машей поиграли
Все игрушки разбросали,
Стали спорить и кричать
Кому игрушки собирать!",частушка
83,"Две лопатки у Егора,
А у Нины - формочки.
Я за это им язык
Высуну из форточки.",частушка
84,"Любят маленькие детки
Всевозможные конфетки.
Кто грызет, а кто глотает,
Кто за щечкою катает.",частушка
85,"Я куличик испекла,
Угостила Ваню.
Он за это показал
Мне жука в стакане.",частушка
86,"Вот как Петя хорошо
Поливает грядку!
Там теперь все лягушата
Делают зарядку.",частушка
87,"Письму мышонка дед учил,
А вышли-то каракули.
Мышонок двойку получил.
И оба горько плакали.",частушка
88,"На рыбалку я ходил,
Удочку закинул.
Клюнул толстый крокодил –
Лодку опрокинул!",частушка
89,"Говорит лентяйке мать:
«Убери свою кровать!»,
А лентяйка: «Маменька,
Я же еще маленька».",частушка
90,"В прятки мы в лесу играли
И Оксанку потеряли.
Забралась в дупло она –
Проспала там до темна!",частушка
91,"Закопченную кастрюлю
Маня чистила песком.
Три часа под душем Маню
Мыла бабушка потом.",частушка
92,"Летом каждая полянка,
Словно скатерть-самобранка.
Вкусной ягодой лесной
Враз накормит нас с тобой.",частушка
93,"Одевался Дима утром
И свалился почему-то:
Он засунул без причины
Две ноги в одну штанину.",частушка
94,"– Это что же за грибочки
Облепили все пенёчки?
– Повезло же вам, ребята,
Это – дружные опята!",частушка
95,"Я под краном руки мыла,
А лицо умыть забыла,
Увидал меня Трезор
Гавкнул он: «Какой позор!»",частушка
96,"Вон те рыжие подружки
Называются волнушки.
Поспеши ты к ним, Иринка,
Пригласи к себе в корзинку.",частушка
97,"Кипятила молоко,
Отошла недалеко.
Подхожу к нему опять:
Молока уж не видать.",частушка
98,"Разрешила мама дочке
Утром сбегать по грибочки.
Принесла дочурка скоро
Две корзинки мухоморов.",частушка
99,"Эх, раз, еще раз,
Мы поклонимся сейчас,
Начинаем перепляс,
Постараемся для вас!",частушка
100,"На песочек золотой
Солнышко светило –
Как же летнею порой
Хорошо нам было!",частушка
101,"Посадили деревья в саду.
Тихо, тихо, чтоб их ободрить,
Шепчет осенний дождь.",хокку
102,"Чтоб холодный вихрь
Ароматом напоить, опять раскрылись
Поздней осенью цветы.",хокку
103,"Скалы среди криптомерий!
Как заострил их зубцы
Зимний холодный ветер!",хокку
104,"Всё засыпал снег.
Одинокая старуха
В хижине лесной.",хокку
105,"Не успела отнять руки,
Как уже ветерок весенний
Поселился в зеленом ростке.",хокку
106,"Все волнения, всю печаль
Твоего смятенного сердца
Гибкой иве отдай.",хокку
107,"Плотно закрыла рот
Раковина морская.
Невыносимый зной!",хокку
108,"Кукушка вдаль летит,
А голос долго стелется
За нею по воде.",хокку
109,"Погостила и ушла
Светлая луна… Остался
Стол о четырех углах.",хокку
110,"…Кисти самого Мотонобу!
Как печальна судьба хозяев твоих!
Близятся сумерки года.",хокку
111,"Под раскрытым зонтом
Пробираюсь сквозь ветви.
Ивы в первом пуху.",хокку
112,"С неба своих вершин
Одни лишь речные ивы
Еще проливают дождь.",хокку
113,"Уходит земля из-под ног.
За легкий колос хватаюсь…
Разлуки миг наступил.",хокку
114,"Прозрачный Водопад…
Упала в светлую волну
Сосновая игла.",хокку
115,"Повисло на солнце
Облако… Вкось по нему –
Перелетные птицы.",хокку
116,"Осеннюю мглу
Разбила и гонит прочь
Беседа друзей.",хокку
117,"В пути я занемог.
И всё бежит, кружит мой сон
По выжженным полям.",хокку
118,"Если в руки ее возьму,
Растает – так слезы мой горячи! –
Осенний иней волос.",хокку
119,"Весеннее утро.
Над каждым холмом безымянным
Прозрачная дымка.",хокку
120,"По горной тропинке иду.
Вдруг стало мне отчего-то легко.
Фиалки в густой траве.",хокку
121,"До столицы – там, вдали, –
Остается половина неба…
Снеговые облака.",хокку
122,"Ей только девять дней.
Но знают и поля и горы:
Весна опять пришла.",хокку
123,"Паутинки в вышине.
Снова образ Будды вижу
На подножии пустом.",хокку
124,"Парящих жаворонков выше
Я в небе отдохнуть присел –
На самом гребне перевала.",хокку
125,"В день рождения Будды
Он родился на свет,
Маленький олененок.",хокку
126,"Там, куда улетает
Крик предрассветный кукушки,
Что там? – Далекий остров.",хокку
127,"Храм Сумадэра.
Слышу, флейта играет сама собой
В темной гуще деревьев.",хокку
128,"Как же это, друзья?
Человек глядит на вишни в цвету,
А на поясе длинный меч!",хокку
129,"Увы, в руке моей,
Слабея неприметно,
Погас мой светлячок.",хокку
130,"Видели всё на свете
Мои глаза – и вернулись
К вам, белые хризантемы.",хокку
131,"Осенняя луна
Сосну рисует тушью
На синих небесах.",хокку
132,"Цветок… И еще цветок…
Так распускается слива,
Так прибывает тепло.",хокку
133,"Я в полночь посмотрел:
Переменила русло
Небесная река.",хокку
134,"Мошек легкий рой
Вверх летит – плавучий мост
Для моей мечты.",хокку
135,"Нищий на пути!
Летом вся его одежда –
Небо и земля.",хокку
136,"Ко мне на заре в сновиденье
Пришла моя мать… Не гони ее
Криком своим, кукушка!",хокку
137,"Как рыбки красивы твои!
Но если бы только, старый рыбак,
Ты мог их попробовать сам!",хокку
138,"Заплатила дань
Земному и затихла,
Как море в летний день.",хокку
139,"И поля и горы –
Снег тихонько всё украл…
Сразу стало пусто.",хокку
140,"С неба льется лунный свет.
Спряталась в тени кумирни
Ослепленная сова.",хокку
141,"Некуда воду из чана
Выплеснуть мне теперь…
Всюду поют цикады!",хокку
142,"За ночь вьюнок обвился
Вкруг бадьи моего колодца…
У соседа воды возьму!",хокку
143,"О мой ловец стрекоз!
Куда в неведомую даль
Ты нынче забежал?",хокку
144,"Полнолуния ночь!
Даже птицы не заперли
Двери в гнездах своих.",хокку
145,"Роса на цветах шафрана!
Прольется на землю она
И станет простой водою…",хокку
146,"О светлая луна!
Я шла и шла к тебе,
А ты всё далеко.",хокку
147,"Только их крики слышны…
Белые цапли невидимы
Утром на свежем снегу.",хокку
148,"Сливы весенний цвет
Дарит свой аромат человеку…
Тому, кто ветку сломал.",хокку
149,"Бушует осенний вихрь!
Едва народившийся месяц
Вот-вот он сметет с небес.",хокку
150,"О кленовые листья!
Крылья вы обжигаете
Пролетающим птицам.",хокку
151,"От этой ивы
Начинается сумрак вечерний.
Дорога в поле.",хокку
152,"Вот из ящика вышли…
Разве ваши лица могла я забыть?..
Пора праздничных кукол.",хокку
153,"Грузный колокол.
А на самом его краю
Дремлет бабочка.",хокку
154,"Лишь вершину Фудзи
Под собой не погребли
Молодые листья.",хокку
155,"Прохладный ветерок.
Колокола покинув,
Плывет вечерний звон.",хокку
156,"Старый колодец в селе.
Рыба метнулась за мошкой…
Темный всплеск в глубине.",хокку
157,"Ливень грозовой!
За траву чуть держится
Стайка воробьев.",хокку
158,"Луна так ярко светит!
Столкнулся вдруг со мной
Слепец – и засмеялся…",хокку
159,"«Буря началась!» –
Грабитель на дороге
Предостерег меня.",хокку
160,"Холод до сердца проник:
На гребень жены покойной
В спальне я наступил.",хокку
161,"Ударил я топором
И замер… Каким ароматом
Повеяло в зимнем лесу!",хокку
162,"К западу лунный свет
Движется. Тени цветов
Идут на восток.",хокку
163,"Летняя ночь коротка.
Засверкали на гусенице
Капли рассветной росы.",хокку
164,"Я встретил гонца на пути.
Весенний ветер, играя,
Раскрытым письмом шелестит.",хокку
165,"Ливень грозовой!
Замертво упавший
Оживает конь.",хокку
166,"Идешь по облакам,
И вдруг на горной тропке
Сквозь дождь – вишневый цвет!",хокку
167,"Так кричит фазан,
Будто это он открыл
Первую звезду.",хокку
168,"Стаял зимний снег.
Озарились радостью
Даже лица звезд.",хокку
169,"Чужих меж нами нет!
Все мы друг другу братья
Под вишнями в цвету.",хокку
170,"Смотри-ка, соловей
Поет всё ту же песню
И пред лицом господ!",хокку
171,"Пролетный дикий гусь!
Скажи мне, странствия свои
С каких ты начал лет?",хокку
172,"О цикада, не плачь!
Нет любви без разлуки
Даже для звезд в небесах.",хокку
173,"Стаяли снега –
И полна вдруг вся деревня
Шумной детворой!",хокку
174,"Ах, не топчи траву!
Там светляки сияли
Вчера ночной порой.",хокку
175,"Вот выплыла луна,
И самый мелкий кустик
На праздник приглашен.",хокку
176,"Верно, в прежней жизни
Ты сестрой моей была,
Грустная кукушка…",хокку
177,"Дерево – на сруб…
А птицы беззаботно
Гнездышко там вьют!",хокку
178,"По дороге не ссорьтесь,
Помогайте друг другу, как братья,
Перелетные птицы!",хокку
179,"Наша жизнь – росинка.
Пусть лишь капелька росы
Наша жизнь – и всё же…",хокку
180,"О, если б осенний вихрь
Столько опавших листьев принес,
Чтобы согреть очаг!",хокку
181,"Тихо, тихо ползи,
Улитка, по склону Фудзи
Вверх, до самых высот!",хокку
182,"В зарослях сорной травы,
Смотрите, какие прекрасные
Бабочки родились!",хокку
183,"Я наказал ребенка,
Но привязал его к дереву там,
Где дует прохладный ветер.",хокку
184,"Печальный мир!
Даже когда расцветают вишни…
Даже тогда…",хокку
185,"Так я и знал наперед,
Что они красивы, эти грибы,
Убивающие людей!",хокку
186,"Ясная луна.
У пруда всю ночь напролет
брожу, любуясь...",хокку
187,"Яркий лунный свет!
На циновку тень свою
Бросила сосна.",хокку
188,"Я шел по мосткам, и вдруг –
Там, в глубине потока,
Сквозят водяные цветы.",хокку
189,"Я прилег в тени,
За меня толчет мой рис
Горный ручеек.",хокку
190,"Я поднялся на холм,
Полон грусти - и что же:
Там шиповник в цвету!",хокку
191,"Я наказал ребенка,
Но привязал его к дереву там,
Где дует прохладный ветер.",хокку
192,"Я и забыла,
Что накрашены губы мои...
Чистый источник!",хокку
193,"Я встретил гонца на пути.
Весенний ветер, играя,
Раскрытым письмом шелестит",хокку
194,"Я в полночь посмотрел:
Переменила русло
Небесная река.",хокку
195,"Я банан посадил -
и теперь противны мне стали
ростки бурьяна...",хокку
196,"Я - светлячок полуночный.
Мне слаще всего полынь
У хижины одинокой.",хокку
197,"Юным вельможей
Оборотилась лисица..
Весенний вечер.",хокку
198,"Это мой собственный снег!
Каким он кажется легким
На плетеной шляпе моей!",хокку
199,"Эй, сова,
Гляди веселее. Льется
Весенний дождь.",хокку
200,"Чуть забрезжил рассвет.
Ускользнув от бакланов, играют
Рыбы в мелкой воде.",хокку
201,"Скоро есть и мелко жуёт,
Сама не глотает и другим не даёт.",загадка
202,"День спит, ночь глядит,
Утром умирает, другой сменяет.",загадка
203,"Маленько, кругленько,
А за хвост не поднять.",загадка
204,"Два конца, два кольца,
А в середке гвоздик.",загадка
205,"Маленько, светленько,
Весь мир одевает.",загадка
206,"Весь мир кормит, сама не ест.",загадка
207,Десять братьев весь груз несут.,загадка
208,"Меня ждут не дождутся.
А как увидят – разбегутся.",загадка
209,"Рук и ног у него нет,
А всех трясёт и качает.",загадка
210,Кто в году четыре раза переодевается?,загадка
211,"Нахмурится, насупится,
В слёзы ударится – ничего не останется.",загадка
212,"Идёт по соломе – не шуршит,
Идёт по воде – не тонет,
Идёт по огню – не горит.",загадка
213,"Тридцать два молотят,
Один поворачивает.",загадка
214,"Снизу камень,
Сверху камень,
Четыре ноги да одна голова.",загадка
215,"Идёт, идёт,
До берега дойдёт – исчезнет.",загадка
216,"Есть голова, да нет волос,
Есть глаза, да нет бровей,
Есть крылья, да не летает.",загадка
217,"Кнутом не гонят.
Овсом не кормят,
Когда пашет – Семь плугов тащит.",загадка
218,"Один братец
Отдыхает зимой,
Другой – летом.",загадка
219,"Что за зверь:
Белый, как снег,
Надутый, как мех,
Лопатами ходит,
А рогом ест?",загадка
220,"Целый день летает,
Всем надоедает,
Ночь настаёт,
Тогда перестаёт.",загадка
221,"Золотой телёнок
На привязи толстеет.",загадка
222,"Под большим камнем
Много камешков поют.",загадка
223,"Маленькая головка,
Тысяча глаз.",загадка
224,"От одного озера
До другого мост лежит.",загадка
225,"С одной стороны лес,
С другой – поле.",загадка
226,"В новой стене,
В круглом окне,
Днём стекло разбито,
Ночью вставлено.",загадка
227,"Стучу – голова болит,
А не стучу – голодный.",загадка
228,"Идёт, а ног нет,
Лежит, а постели нет,
Лёгкий, а крыши ломит.",загадка
229,Какая одежда без рукавов?,загадка
230,"Кверху дном – полная,
Книзу дном – пустая.",загадка
231,"Когда видишь, то не видишь,
А когда не видишь, то её видишь.",загадка
232,"К реке идут – поют,
Назад идут – плачут.",загадка
233,"Всё ест – не наедается,
А попьёт – умирает.",загадка
234,"У матери тысяча сыновей,
Каждому она мисочку дала,
А себе не взяла.",загадка
235,"Кого бьют по голове,
Чтобы ровно шёл?",загадка
236,"Увидав рожок над крышей,
Ты его узнаешь вмиг,
Если вечером повыше
Задирать свой нос привык.",загадка
237,"Красная лисица
Из своей норки
Не выходит.",загадка
238,"В нарядной одежде,
А ходит босой.",загадка
239,"Побегу в сторону –
Останется хвост
На семь вёрст.",загадка
240,"Где лежала красная коза,
Там трава не растёт.",загадка
241,"Чёрная корова
Всех людей поборола,
А белый вол
Всех поднял.",загадка
242,"Золотая птичка
Вечером в дом влетает,
Весь дом освещает.",загадка
243,"Тело снаружи, рубашка внутри.",загадка
244,"Пять амбарушек, одни ворота.",загадка
245,"На одной горе много травы,
Да скот этой травы не ест.",загадка
246,"Огромное поле: копать его нельзя,
Камней на нём не счесть.",загадка
247,"Молода – похожа на серп,
Поживёт – станет, как лепёшка.",загадка
248,"Наша поляна
Заячьей шкуркой покрыта.",загадка
249,"Чёрного ворона не могу догнать,
Если и догоню, не могу поймать.",загадка
250,Вокруг озера камыш растёт.,загадка
251,На чём больше всего обручей?,загадка
252,"Как только разойдусь –
Всё ем и ем.
Но если наемся –
Исчезну совсем.",загадка
253,"Пройдёт он первым без стыда
В любую дверь упрямо,
И первым в дом его всегда
Пропустит даже дама.",загадка
254,"Одиноким глазом
Бабушка косится,
От косы осталась
Тонкая косица.
Но проворна бабушка,
Словно молодица,
Стелет стежки на холсте
Тонкою косицей.",загадка
255,"Пришёл белый телёнок,
Прогнал чёрного.",загадка
256,"Голова большая, шея тоненькая.",загадка
257,"Бежала – шумела,
Заснула – заблестела.",загадка
258,"Белым цветёт,
Зелёным висит,
Красным падает.",загадка
259,От одного очага весь свет греется.,загадка
260,"Никого не обижает,
А её все толкают.",загадка
261,В году у дедушки четыре имени.,загадка
262,"Нас семь братьев.
Летами мы равны.
А именами разны.",загадка
263,"Полная изба парней
С чёрными головками.",загадка
264,"Куда мне угодно,
Туда полечу,
Там и заговорю.",загадка
265,"Что это за дорога:
Кто по ней идёт,
Тот хромает?",загадка
266,"Сама маленькая, тоненькая,
Коса длинная.",загадка
267,"На четырёх парней
Одна шапка надета.",загадка
268,"Деревянная шея,
Железный клюв,
Кричит: «тук-тук-тук!»",загадка
269,"Бьют – не плачет,
Прыгает лучше всех.",загадка
270,"Сверху кожа, снизу тоже,
А в середине пусто.",загадка
271,"На юге она и темна, и черна.
На севере белой бывает она.",загадка
272,"В безлюдной тайге
Котелок кипит.",загадка
273,"Полная печь ватрушек,
В середине – один калач.",загадка
274,"Пробил я стенку – увидел серебро;
Пробил серебро – увидел золото.",загадка
275,"Целый табун лошадей
На одной привязи.",загадка
276,"Меж двумя дубами
Застряла свинья зубами.",загадка
277,"Тысячу баранов
Одной хворостинкой сгоняю.",загадка
278,Посреди двух озерков – горушка.,загадка
279,"Дверь откроешь –
Лохматая собака войдёт.",загадка
280,"Белый баран ушёл,
Чёрный остался.",загадка
281,"Растёт, но не цветок.
Висит, но не фрукт.
Похож на нитку, но живой.
Один выпадает, другой вырастает.",загадка
282,"Огромные вилы
Пшеницу пленили,
Прошли по пшенице,
Пшеница в косицах.",загадка
283,"Крутая скала
В косогоры вросла,
Над кручей лес
Возрос до небес.",загадка
284,"Тёмная полоска
Протянулась плоско
Через поле, косогоры,
Сквозь холмы и горы.",загадка
285,"Две сестрицы,
Две орлицы –
Над гнёздами сидят,
Сердито глядят,
Пёрышки взъерошены,
Гость не придёт непрошенный!",загадка
286,"Два брата в разлуке
Скучают друг о друге,
А сойдутся вместе –
Сердятся и хмурятся.",загадка
287,"За поляною – гора,
Под горою есть дыра,
А в горе – две печки
День и ночь жарою пыщут,
То сопят, то ровно дышат.
Что же это за гора?
Дать ответ тебе пора!",загадка
288,"Стоит домик на поляне,
Кто на этот домик глянет,
Тот окошки разглядит:
Два окошка, в них темно,
В доме спать легли давно.",загадка
289,"Между ямой и скалою
Речка мелкая бежит,
На её пути-дороге
Поле чистое лежит.",загадка
290,"Нежная равнина,
Мягкая перина,
А посмотришь ласково –
Зальётся красной краскою.",загадка
291,"Две молоденьких сестрицы
Вышли солнцу поклониться,
И под солнцем золотым
Засмущались, покраснели,
Платья алые надели.",загадка
292,"Две соседки-красавицы
Встретиться пытаются,
Поболтать, посмеяться,
О своём пошептаться,
Но гора на их пути –
Не перелезть, не обойти.",загадка
293,"Огромные вилы
Пшеницу пленили,
Прошли по пшенице,
Пшеница в косицах.",загадка
294,"Крутая скала
В косогоры вросла,
Над кручей лес
Возрос до небес.",загадка
295,"Тёмная полоска
Протянулась плоско
Через поле, косогоры,
Сквозь холмы и горы.",загадка
296,"Две сестрицы,
Две орлицы –
Над гнёздами сидят,
Сердито глядят,
Пёрышки взъерошены,
Гость не придёт непрошенный!",загадка
297,"Два брата в разлуке
Скучают друг о друге,
А сойдутся вместе –
Сердятся и хмурятся.",загадка
298,"За поляною – гора,
Под горою есть дыра,
А в горе – две печки
День и ночь жарою пыщут,
То сопят, то ровно дышат.
Что же это за гора?
Дать ответ тебе пора!",загадка
299,"Стоит домик на поляне,
Кто на этот домик глянет,
Тот окошки разглядит:
Два окошка, в них темно,
В доме спать легли давно.",загадка
300,"Между ямой и скалою
Речка мелкая бежит,
На её пути-дороге
Поле чистое лежит.",загадка
301,"Я не песню пропел, не балладу сложил, Отыскал я прямую дорогу, Но желанной награды я не заслужил И не заворожил недотрогу. Время шло. Зазнобила седая зима. Зачастили короткие встречи. И она меня часто сводила с ума, Но о будущем не было речи. Но росла моя жажда. И ранней весной На окраине где-то московской, Может, на поле чистом иль в чаще лесной, Повстречался я с гостьей таковской. Ее облик менялся в далеком пути, И на Балтике в сумрачной сини Ей хотелось по гальке горячей пройти До Купавны ногами босыми. Да, я завтра увижу ее. Только нет С вологодской девчонкою сладу, Не услышал я зова далеких планет, А сложил напоследок балладу.",баллада
